data_channel,tag_label,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,shares,abs_title_sentiment_polarity
5,1162,69,12,968,0.403526971,0.999999998,0.63527054,8,1,1,4,4.84607438,5,-1,495,204.5,0,843300,208260,0,3439.427971,1974.683657,882,882,882,0,0,0,0,1,0,0,0,0.040002507,0.040689895,0.63965807,0.040385814,0.239263714,0.514394054,0.086736584,0.036157025,0.015495868,0.7,0.3,0.284673469,0.05,0.5,-0.269444444,-0.8,-0.05,0.35,-0.2,0.15,1100,0.2
4,1954,247,9,242,0.556016595,0.999999993,0.710344823,4,3,1,2,4.603305785,7,-1,715,154.5714286,6500,843300,421657.1429,1928.636364,3810.744382,3110.308512,28500,28500,28500,0,1,0,0,0,0,0,0,0.02867095,0.028575305,0.02861922,0.02857171,0.885562815,0.390160534,0.187950938,0.02892562,0.004132231,0.875,0.125,0.346011132,0.1,0.5,-0.166666667,-0.166666667,-0.166666667,0,0,0.5,1300,0
2,717,238,14,835,0.480722891,0.999999998,0.650294694,5,2,2,0,5.136526946,6,-1,776,297.3333333,3600,843300,266600,1282.962963,3589.01439,2260.058803,1600,5100,3350,0,0,0,1,0,0,0,0,0.366230773,0.033333918,0.533767509,0.033333646,0.033334154,0.39171657,0.11255752,0.047904192,0.017964072,0.727272727,0.272727273,0.342282197,0.0625,1,-0.194074074,-0.5,-0.05,0.2,0.2,0.3,974,0.2
0,5854,632,11,177,0.632768358,0.999999991,0.773584898,5,1,0,0,4.259887006,8,4,2500,627.4285714,0,690400,181162.5,0,6357.142857,3846.118828,0,0,0,0,1,0,0,0,0,0,0,0.025002639,0.601619038,0.02512067,0.323256434,0.025001219,0.463194444,0.177083333,0.039548023,0.011299435,0.777777778,0.222222222,0.403571429,0.25,0.7,-0.35,-0.4,-0.3,0.477272727,0.193181818,0.022727273,1200,0.193181818
1,6595,618,12,263,0.678294571,0.999999995,0.744565213,7,2,1,0,4.878326996,8,4,1200,399.875,7700,690400,149150,2018.018018,3404.930815,2721.894659,0,0,0,0,1,0,0,0,0,0,0,0.025039182,0.281496446,0.025113403,0.025537914,0.642813055,0.304477102,0.104237867,0.034220532,0.003802281,0.9,0.1,0.236724387,0.05,0.8,-0.15,-0.15,-0.15,0,0,0.5,2400,0
5,5411,720,9,234,0.558951963,0.999999994,0.609756094,10,2,0,0,4.931623932,6,217,450,326.3333333,25200,51900,30116.66667,1742.481481,2867.166667,2335.562226,0,0,0,0,0,0,0,1,0,0,0,0.033884734,0.034195352,0.862625444,0.035924339,0.033370131,0.25010101,0.166363636,0.034188034,0.004273504,0.888888889,0.111111111,0.336931818,0.136363636,1,-0.1875,-0.1875,-0.1875,0.454545455,0.136363636,0.045454545,1100,0.136363636
0,1088,199,9,388,0.511235954,0.999999997,0.53472222,92,3,0,1,5.894329897,7,-1,504,108.0842857,112600,843300,557100,3558.13499,7980.173913,5653.42528,885,3600,2242.5,1,0,0,0,0,0,0,0,0.028572052,0.029077743,0.028571459,0.885207015,0.02857173,0.550119048,0.098660714,0.020618557,0.023195876,0.470588235,0.529411765,0.473214286,0.285714286,0.5,-0.338888889,-0.5,-0.05,0.4,-0.3,0.1,1400,0.3
2,87,519,13,277,0.521072795,0.999999994,0.610465113,7,2,1,0,4.613718412,5,4,523,203.5,0,843300,445260,0,4453.502008,2326.658557,2000,7600,4800,0,0,1,0,0,0,0,0,0.839998643,0.040000554,0.040000286,0.040000298,0.04000022,0.361904762,0.073809524,0.02166065,0.007220217,0.75,0.25,0.283333333,0.1,0.6,-0.233333333,-0.3,-0.166666667,0,0,0.5,485,0
4,4682,669,8,599,0.524534686,0.999999997,0.663013697,3,1,1,0,4.676126878,9,217,987,459.4444444,705,617900,85878.33333,705,3152.007925,2359.275903,0,0,0,0,0,0,0,0,0,1,1,0.022263331,0.578186047,0.022229667,0.022223388,0.355097567,0.423610864,0.159777323,0.063439065,0.010016694,0.863636364,0.136363636,0.343563454,0.05,0.7,-0.231944444,-0.5,-0.1,0.45,0.4,0.05,1300,0.4
1,2055,483,10,405,0.502525251,0.999999995,0.693023253,6,5,1,1,4.281481481,7,4,206,73.16666667,0,843300,199771.4286,0,5120.868421,2777.747846,2000,2000,2000,0,0,0,1,0,0,0,0,0.028659957,0.600625722,0.028584258,0.028764066,0.313365997,0.462720499,0.102638631,0.061728395,0.034567901,0.641025641,0.358974359,0.341060606,0.1,1,-0.258730159,-0.4,-0.1,0,0,0.5,533,0
